run_name,degree,signal_type,dimension,count,mean,std,p0,p1,p2,p5,p10,p25,p50,p75,p95,p99,p99_9,p99_99,p100
temp,3,action,55,46928,7.036248812285746e-05,0.00012188522918306261,0.0,3.434464048533073e-22,1.8777658148411828e-20,1.080274758535892e-13,6.012995816817579e-08,4.230825965748086e-06,2.7038378273898378e-05,8.523628554550286e-05,0.000280342018246542,0.0005822896296176218,0.0011554525448914576,0.001967164374060352,0.003042690245635138
temp,3,action,56,46928,0.0003130406066080175,0.00043118548647334793,0.0,4.311453569459128e-22,9.70401003436081e-21,3.5138503479520497e-13,3.0777292227002195e-07,2.5983947238156224e-05,0.00015863048887732045,0.0004368377543759461,0.0011224940025426568,0.0019658296842750282,0.0035911204006520052,0.005881028575596222,0.007439242397915047
temp,3,action,57,46928,0.00012261879372155128,0.0002798110697670088,0.0,2.7089317411459894e-21,4.652653649781955e-20,2.530357457671101e-13,9.44226362209477e-08,8.11789736876456e-06,4.929509512707764e-05,0.00014153724978244187,0.00041524960103708227,0.0012285585429208496,0.0035223970778493624,0.007460531768153152,0.00841665054178553
temp,3,action,58,46928,3.17368053894944e-10,1.8865238142721108e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,3.3306690738754696e-16,2.2442936398195316e-13,2.919313249806292e-09,1.418157916829931e-06,1.6579013828454947e-06
temp,3,action,59,46928,4.07589952905211e-11,3.3109416076734256e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,1.4943601911454607e-13,4.7717260365238846e-11,1.3925531879955008e-07,5.09394820324971e-07
temp,3,action,60,46928,7.793189313926641e-05,8.931757636814577e-05,0.0,1.1102230246251565e-16,4.440892098500626e-16,4.1221925872747524e-11,2.851676459969531e-07,1.2477829480217473e-05,4.846885671910828e-05,0.00011180490201903592,0.00025888746864388137,0.00040492030120559185,0.0006025085455172691,0.0007199800191361589,0.0008059152690063076
temp,3,action,61,46928,6.823679215512954e-05,7.812135752036468e-05,0.0,1.734723475976807e-18,1.6020171300645798e-16,3.0276211702637276e-11,2.6174574851872166e-07,1.1003443529013961e-05,4.273029819081963e-05,9.879326521799328e-05,0.00022377750761078618,0.0003465966027868206,0.0005401578966799372,0.0007672330672992644,0.0009011084190315745
temp,3,action,62,46928,0.00010919475907026895,0.0001324211122796302,0.0,3.469446951953614e-18,3.493733080617283e-16,3.888313811385759e-11,3.842172062432438e-07,1.673912294927602e-05,6.518038091749348e-05,0.0001526182996200679,0.0003672282694705131,0.0006077865112353302,0.0010182499195129798,0.001298752308112032,0.0017030314423230435
temp,3,action,63,46928,0.00021216839221373018,0.00027064860421942733,0.0,6.938893903907228e-18,7.319154519202979e-16,4.6454830879338966e-11,6.314976911910192e-07,2.9823882403685062e-05,0.00012172318457856837,0.0002891618783284564,0.0007378268044298102,0.001242211118616257,0.0021600884856951734,0.0027950880320994475,0.004570587359143188
temp,3,action,64,46928,1.4873371263528895e-05,0.00010872070093321959,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,3.3306690738754696e-16,1.3486415279878722e-05,0.0004557506433465681,0.0013177258089902251,0.0026276527635868993,0.006881973977877709
temp,3,action_acceleration,0,46928,0.15225648764074462,0.6366270602147972,1.9984624320925363e-13,1.7338578852374892e-06,7.086049795316878e-06,3.5069019016560224e-05,0.00013221782102012912,0.0009247527050879987,0.005878210716537725,0.046622200794368476,0.7135681659919647,2.8601582856872643,8.712722068045656,13.27129334949094,14.30334078904107
temp,3,action_acceleration,1,46928,0.40192111079233883,1.808380443937252,1.4918721926915225e-08,2.8935194362706847e-05,9.776335938292116e-05,0.002041507553439075,0.00629878862188602,0.019824071932174225,0.060181964636304125,0.21223240062025348,1.813568111431035,5.783340643882944,17.153604315602394,80.39901183648468,105.93108707644826
temp,3,action_acceleration,2,46928,0.09741461618255609,0.4638816473006788,0.0,7.172448308734751e-10,2.055791081477748e-08,1.45310262817657e-06,1.729014178888728e-05,0.0004073796372499904,0.0034928626834009064,0.02486007851968778,0.41903601677992175,1.8901349129353069,6.847561784057979,11.091947632339712,15.490515890088208
temp,3,action_acceleration,3,46928,0.4380306127921984,1.7959184596963327,9.261107709558919e-08,0.00011028764286000618,0.0003145267093046057,0.002250001426187966,0.006866119640184959,0.022500859159767524,0.0685526260004028,0.2287366160766374,1.8367946460999565,6.754837089001488,21.519310091539946,72.0041273524319,94.87260545022535
temp,3,action_acceleration,4,46928,1.0315323994926877,4.438061785934181,4.340803294589723e-10,8.016448655359403e-06,2.8744406515274836e-05,0.0002301625520218399,0.0016759767545960372,0.01838279628009999,0.11095156176689192,0.47983187624162893,4.645769678290434,17.223177191604275,49.128318315263265,132.45227498688408,285.5975278830654
